Order_ID,Date,Customer,Email,Phone,Items,Amount_INR,Status,Tracking
#399884ec,28/1/2026,Parth Singh,singhparth427@gmail.com,07318510890,Penny Black(x6),2780,Delivered,N/A
#39988516,28/1/2026,kamal Singh,singhparth427@gmail.com,07318510890,rooha black (x2),1253,Delivered,N/A
#31337bfc,28/1/2026,gokuldham Singh,singhparth427@gmail.com,07318510890,Penny Black(x3),1417,Shipped,EK1234567IN
#83b6917e,28/1/2026,Parth Singh,singhparth427@gmail.com,07318510890,Penny Black(x1),516,Delivered,INDIA001
#76d9700b,28/1/2026,Parth Singh,singhparth427@gmail.com,07318510890,Penny Black(x1),516,Delivered,567
#76d9700d,28/1/2026,Parth Singh,singhparth427@gmail.com,07318510890,Penny Black(x1),516,Delivered,INDIA00123
#a8163ea2,28/1/2026,Parth Singh,singhparth427@gmail.com,07318510890,Penny Black(x1),516,Cancelled,N/A
#a8163ecb,28/1/2026,Parth Singh,singhparth427@gmail.com,07318510890,Penny Black(x1),530,Shipped,8990
#44b56d69,28/1/2026,Parth Singh,singhparth427@gmail.com,07318510890,Penny Black(x2),980,Delivered,N/A
#886a7494,28/1/2026,Parth Singh,singhparth427@gmail.com,07318510890,Penny Black(x5),2330,Cancelled,N/A
#36a03c43,28/1/2026,Parth Singh,singhparth427@gmail.com,7235971354,Inverted Jenny(x1),125080,Shipped,69
#093daa7c,28/1/2026,azad Singh,singhparth427@gmail.com,07318510890,rooha black (x1) | Penny Black(x1),1050,Shipped,6999
#093daac0,28/1/2026,Pankaj Singh,singhparth427@gmail.com,07318510890,queennn (x1),510,Order Placed,N/A
#c225a345,28/1/2026,Parth Singh,singhparth427@gmail.com,07318510890,Penny Black(x2),900,Order Placed,N/A
#093daaef,28/1/2026,congractulation Singh,singhparth427@gmail.com,07318510890,Penny Black(x1),460,Delivered,N/A
#a54d066e,29/1/2026,soham  datta,singhparth427@gmail.com,7706809012,Penny Black(x4),1805,Delivered,TMKOC
#004541b9,31/1/2026,usd payment Singh,singhparth427@gmail.com,07318510890,Penny Black(x2),750,Delivered,N/A
#0045420b,31/1/2026,check Singh,singhparth427@gmail.com,07318510890,Penny Black(x2),860,Delivered,860
#16d9fb2c,31/1/2026,Snklap Singh,sankalp@gmail.com,07318510890,Inverted Jenny(x7),875010,Delivered,N/A
